*     Z        A    	  tel  crystal    normalization 	gradient
      1        3    	    1	   3	   0.00675928	   1.05556e-06
      1        3    	    2	   0	   0.00688218	   1.28215e-06
      1        3    	    2	   1	   0.00621737	   1.02256e-06
      1        3    	    2	   2	   0.00706882	   1.03003e-06
      1        3    	    2	   3	   0.00682004	   1.38615e-06
      1        3    	    3	   0	   0.00702955	   1.30375e-06
      1        3    	    3	   1	   0.00720417	   1.14099e-06
      1        3    	    3	   2	   0.00502623	   2.77446e-06
      1        3    	    3	   3	    0.0070609	   1.02389e-06
      1        3    	    4	   0	   0.00653202	   5.25298e-07
      1        3    	    4	   1	   0.00660026	   4.54393e-07
      1        3    	    4	   2	   0.00721038	   6.55043e-07
      1        3    	    4	   3	   0.00696397	   8.03563e-07
      1        3    	    5	   0	   0.00684921	   4.05115e-07
      1        3    	    5	   1	   0.00801106		 3e-06
      1        3    	    5	   2	   0.00847957		 3e-06
      1        3    	    5	   3	     0.010677	   7.76254e-16
      1        3    	    6	   0	   0.00662551		 3e-06
      1        3    	    6	   1	   0.00705167	   1.13435e-06
      1        3    	    6	   2	   0.00675004		 3e-06
      1        3    	    6	   3	   0.00655244		 3e-06
      1        3    	    7	   0	   0.00684733		 3e-06
      1        3    	    7	   1	   0.00724383		 3e-06
      1        3    	    7	   2	   0.00702964		 3e-06
      1        3    	    7	   3	   0.00706039		 3e-06
      1        3    	    8	   0	   0.00673606		 3e-06
      1        3    	    8	   1	   0.00696791		 3e-06
      1        3    	    8	   2	   0.00691709		 3e-06
      1        3    	    8	   3	   0.00669532		 3e-06
      1        3    	    9	   0	   0.00650888		 3e-06
      1        3    	    9	   1	   0.00636975		 3e-06
      1        3    	    9	   2	   0.00677405		 3e-06
      1        3    	    9	   3	   0.00715862		 3e-06
      1        3    	   10	   0	   0.00710491		 3e-06
      1        3    	   10	   1	   0.00747801		 3e-06
      1        3    	   10	   2	   0.00774412		 3e-06
      1        3    	   10	   3	   0.00703549		 3e-06
      1        3    	   11	   0	   0.00671385		 3e-06
      1        3    	   11	   1	   0.00690705		 3e-06
      1        3    	   11	   2	   0.00697086	   1.88009e-06
      1        3    	   11	   3	    0.0070869		 3e-06
*         Z          A  telescope     CsI num  Intercept (MeV)   Slope (MeV/V)
         2         3         0           0          4.22117          138.865
         2         3         0           1          4.44875          138.082
